scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name0,matching1%,matching2%,Coordinate0,Endpoint,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1.1,Unnamed: 45,Unnamed: 46,Unnamed: 47,subst_name0.1
AMP-022,29340,,,,AC,,,,,,,,,1,2025.0,40,,,3.0,,,,,,,,EnLAG,19,Station Kruckel,,,,6.683107022192082 51.57564552523084,Ochsenkopf,,6.926758989258765 51.49920569585058,116.9763711,380,,Errichtung einer Lei- tung: Ersatzneubau,9.098784671335956 51.512074576244466,9.098784671335956 51.512074576244466,,,Ossendorf
AMP-022,29341,,,,AC,,,,,,,,,1,2025.0,40,,,3.0,,,,,,,,EnLAG,19,Ochsenkopf ,,,,9.098784671335956 51.512074576244466,Dauersberg,,7.863758842197247 50.76808852633666,82.80228124,380,,Errichtung einer Lei- tung: Ersatzneubau,7.863758842197247 50.76808852633666,7.863758842197247 50.76808852633666,,,Ossendorf
AMP-028,29342,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,,,Station Wanne,,,,6.683107022192082 51.57564552523084,Günnigfeld,,7.505971563875505 51.40160535798426,146.7978959,380,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,7.5453360311890005 50.262711353062706,7.5453360311890005 50.262711353062706,,,Station Hünenfeld
AMP-028,29343,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,,,Emscherbruch,,,,11.004916950000002 50.50741499934261,Emscherbruch,,11.004916950000002 50.50741499934261,0.0,380,,für Dritte,6.506614008567626 51.19848427756595,6.506614008567626 51.19848427756595,,,Korschenbroich
AMP-032,29344,,,,AC,,,,,,,,,1,2030.0,40,,,3.0,,,,,,,,EnLAG,14,Station Niederrhein,,,,6.6807962637334715 51.646328801088394,Station Utfort,,6.683107022192082 51.57564552523084,19.47467006,380,,Errichtung einer Lei- tung: Ersatzneubau,6.617199413011056 51.47583728028681,6.617199413011056 51.47583728028681,,,Station Bochum
AMP-P21,29345,,,,AC,,,,,,,,,1,2027.0,40,,,,,,,,,,,BBPIG,6,Regelzonengrenze TTG/AMP,,,,,Merzen,,13.524113150563279 52.53579367759632,455.0565554,380,,Errichtung einer Leitung: Neubau in neuer Trasse,8.861525797588994 47.80643535471784,8.861525797588994 47.80643535471784,,,Beuren
AMP-P41,29346,,,,AC,,,,,,,,,1,2024.0,40,,,,,,,,,,,BBPIG,15,Umspannwerk Mitterteich,,,,8.735135796743075 50.159191553758134,Station Niederstedem,,6.475062982714686 49.92260878493446,192.3016181,380,,Errichtung einer Lei- tung: Ersatzneubau,6.475062982714686 49.92260878493446,6.475062982714686 49.92260878493446,,,Umspannwerk Zell
AMP-P47,29347,,,,AC,,,,,,,,,1,2025.0,40,,,,,,,,,,,BBPIG,19,Umspannwerk Urberach,,,,8.735135796743075 50.159191553758134,"Pfungstadt
",,8.588596431598917 49.815633721588135,22.06139888,380,,"Errichtung einer Leitung: Neubau in neuer Trasse; Errichtung einer
Leitung: Ersatzneu- bau; Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",8.588596431598917 49.815633721588135,8.588596431598917 49.815633721588135,,,Umspannwerk Zell
AMP-P47,29348,33804.0,33532.0,,AC,,,,,,,,,1,2025.0,40,,270.8330792470084,,,,,,,,,BBPIG,19,"Pfungstadt
",Umspannanlage Pfungstadt,55.56,72.22,8.588596431598917 49.815633721588135,Umspannwerk Weinheim,Umspannwerk Zell,10.024504210738638 47.57320970527648,49.06439316,380,,"Errichtung einer Leitung: Neubau in neuer Trasse; Errichtung einer
Leitung: Ersatzneu- bau; Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",8.626963252122508 49.543605582041856,8.626963252122508 49.543605582041856,,,Umspannwerk Zell
AMP-P47a,29349,,,,AC,,,,,,,,,1,2024.0,40,,,,,,,,,,,BBPIG,76,Umspannwerk Kriftel,,,,8.735135796743075 50.159191553758134,Umspannwerk Marxheim,,8.735135796743075 50.159191553758134,5.000891872,380,,Errichtung einer Leitung: Ersatzneu- bau,8.435170664910492 50.05902070303217,,8.435170664910492 50.05902070303217,,Umspannwerk Zell
