scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Projekt,Projekt_id,Maßnahme,Startpunkt,subst_name0,Endpunkt,subst_name1,Coordinate0,Coordinate1,Length type,Length,Trassenlänge in km,Trassenlänge in km.1,Spannung,NOVA-Typ,Art,s_nom.1,cables.1,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,Anmerkung
AMP-P310,29356,,,,AC,,,,,,,,,,2023,40,,,,,,,,,,,,,,Mutterstadt,,Weingarten,,,,Bestand,,,*,380,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,"HE,
RP, BW",NV,,,,2023,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,"M485, HTLS"
AMP-P310,29357,,,,AC,,,,,,,,,,2023,40,,,,,,,,,,,,,,Weingarten,,Maximiliansau,,,,Bestand,,,*,380,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,"HE,
RP, BW",NV,,,,2023,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,"M485, HTLS"
AMP-P310,29358,,,,AC,,,,,,,,,,2023,40,,,,,,,,,,,,,,Maximiliansau,,Kühmoos,,,,Bestand,,,*,380,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,"HE,
RP, BW",NV,,,,2023,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,"M485, HTLS"
AMP-P460,29359,,,,AC,,,,,400,,,,,2025,40,,3.4,,,,,,,,,,,Büscherhof – Umbeseilung und Schaltfelderweiterung,Büscherhof,,zu neue 380-kV-Anlage,,,6.967172 51.490748,Bestand,,,3.4,380,"Änderung oder Erweiterung einer Leitung: Zu- oder
Umbeseilung",Leitung,400,,NW,NV,,,,"2023,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,M687
TTG-006,29360,,,,AC,,,,,,,,,,2024,40,,221,3,,1,,,,,,EnLAG,6,Wahle – Mecklar,Wahle,,Lamspringe,,,,Ausbau,,221,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,3,"NI, HE",,x,,EnLAG Nr. 6,"2023,
2024",4: Genehmigt oder im Bau,,,,
TTG-006,29361,,,,AC,,,,,,,,,,2024,40,,,3,,1,,,,,,EnLAG,6,,Lamspringe,,Erzhausen,,,,Ausbau,,*,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,3,"NI, HE",,x,,EnLAG Nr. 6,2024,4: Genehmigt oder im Bau,,,,Erdkabel
TTG-006,29362,,,,AC,,,,,,,,,,2024,40,,,3,,1,,,,,,EnLAG,6,,Erzhausen,,Hardegsen,,,,Ausbau,,*,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,3,"NI, HE",,x,,EnLAG Nr. 6,2024,4: Genehmigt oder im Bau,,,,Erdkabel
TTG-006,29363,,,,AC,,,,,,,,,,2024,40,,,3,,1,,,,,,EnLAG,6,,Hardegsen,,Mecklar,,,,Ausbau,,*,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,3,"NI, HE",,x,,EnLAG Nr. 6,2024,4: Genehmigt oder im Bau,,,,Erdkabel
TTG-007,29364,,,,AC,,,,,2400,,,,,2024,40,,31,6,,2,,,,,,EnLAG,5,Dörpen / West – Niederrhein (Punkt Meppen),Dörpen West,,Niederrhein (Punkt Meppen),,, 7.211702 52.730448,Ausbau,,31,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,2400,6,NI,,x,,EnLAG Nr. 5,2024,"4: Genehmigt oder im Bau,
5: Realisiert",,,,3600A
TTG-009,29365,,,,AC,,,,,,,,,,2024,40,,61,6,,2,,,,,,EnLAG,2,Ganderkesee – St. Hülfe,Ganderkesee,,Station Sankt Hülfe,,,,Ausbau,,61,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,6,NI,,x,,EnLAG Nr. 2,"2023,
2024",4: Genehmigt oder im Bau,,,,
TTG-P21,29366,,,,AC,,,,,5400,,,,,2023,40,,77,6,,2,,,,,,,,Conneforde – Garrel/ Ost – Cappeln/West,Conneforde,,Garrel,,,,Bestand,,,77,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,5400,6,NI,NV,x,,6,"2022,
2023",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,4000A each circuit
TTG-P21,29367,,,,AC,,,,,,,,,,2026,40,,,6,,2,,,,,,,,,Garrel,,Punkt Cappeln West,,,8.017258 52.791597,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,6,NI,NV,x,,6,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
TTG-P21,29368,,,,AC,,,,,,,,,,2026,40,,21,6,,2,,,,,,,,Cappeln/West – Regelzonengrenze TTG/AMP,Punkt Cappeln West,,Punkt Regel- zonengrenze TTG/AMP,,8.017258 52.791597,7.911058 52.693343,Ausbau,,21,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,6,NI,,x,,6,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
